Title,Year,Duration,Country,Genre,Director,Roles,Rating,Count
Ветреная река,2023,1 ч 46 мин,Великобритания,детектив,Тейлор Шеридан,"Джереми Реннер, Элизабет Олсен",7.6,279 541
Арман,2023,N/A,Норвегия,драма,Хальвдан Ульман Тёндель,"Ренате Реинсве, Эллен Доррит Петерсен",6.8,301
5 сентября,2005,1 ч 24 мин,Германия,триллер,Тим Фельбаум,"Питер Сарсгаард, Джон Магаро",N/A,N/A
Шестое чувство,2016,1 ч 47 мин,США,детектив,М. Найт Шьямалан,"Брюс Уиллис, Хейли Джоэл Осмент",8.2. топ 250,378 067
Марсианин,2024,1 ч 57 мин,США,фантастика,Ридли Скотт,"Мэтт Дэймон, Джессика Честейн",7.8,659 358
За Палыча!,2024,1 ч 31 мин,Россия,комедия,Андрей Богатырев,"Сергей Шакуров, Евгений Зарубин",5.9,30 616
Неожиданные связи,1999,1 ч 47 мин,Франция,комедия,Жюльен Эрве,"Кристиан Клавье, Дидье Бурдон",7.2,158 817
"Знакомьтесь, Джо Блэк",2015,2 ч 24 мин,США,мелодрама,Мартин Брест,"Брэд Питт, Энтони Хопкинс",8.1. топ 250,403 346
На Западном фронте без перемен,2023,1 ч 30 мин,Германия,военный,Эдвард Бергер,"Феликс Каммерер, Альбрехт Шух",7.6,88 561
Моя вина,2023,N/A,Испания,мелодрама,Доминго Гонсалес,"Николь Уоллес, Габриель Гевара",7.2,76 752
Балканский рубеж,2024,1 ч 32 мин,Россия,боевик,Андрей Волгин,"Антон Пампушный, Гоша Куценко",8.0. топ 250,426 843
Служебный роман,1998,2 ч 58 мин,СССР,мелодрама,Эльдар Рязанов,"Андрей Мягков, Алиса Фрейндлих",8.3,646 218
Тариф Новогодний,2022,2 ч 28 мин,Россия,фэнтези,Евгений Бедарев,"Максим Матвеев, Валерия Ланская",7.1,77 623
Гарри Поттер и Дары Смерти: Часть II,2023,1 ч 57 мин,Великобритания,фэнтези,Дэвид Йейтс,"Дэниэл Рэдклифф, Руперт Гринт",8.2. топ 250,615 599
Оружейный барон,2019,2 ч 31 мин,США,драма,Эндрю Никкол,"Николас Кейдж, Бриджет Мойнэхэн",7.7,409 928
Маленькие женщины,2019,N/A,США,драма,Грета Гервиг,"Сирша Ронан, Эмма Уотсон",7.8,249 430
Достучаться до небес 2,1977,2 ч 39 мин,Германия,комедия,Тиль Швайгер,"Тиль Швайгер, Михаэль Мертенс",7.8,82 552
Железный человек,1977,N/A,США,фантастика,Джон Фавро,"Роберт Дауни мл., Джефф Бриджес",8.0. топ 250,683 496
Зависнуть в Палм-Спрингс,2008,1 ч 23 мин,США,комедия,Макс Барбаков,"Энди Сэмберг, Кристин Милиоти",7.3,391 555
Крик тишины,2008,N/A,Россия,драма,Владимир Потапов,"Алина Саргина, Лев Гиршов",8.5. топ 250,157 005
Леди Баг и Супер-Кот: Пробуждение силы,2011,2 ч 10 мин,Франция,мультфильм,Джереми Заг,"Анук Отбуа, Бенжамен Болен",7.6,242 357
Знакомство с родителями,2005,2 ч 2 мин,США,мелодрама,Джей Роуч,"Бен Стиллер, Роберт Де Ниро",7.5,183 928
До встречи с тобой,2019,2 ч 15 мин,Великобритания,драма,Теа Шэррок,"Эмилия Кларк, Сэм Клафлин",7.3,294 220
Мемуары улитки,2023,1 ч 51 мин,Австралия,мультфильм,Адам Бенжамин Эллиот,"Джеки Уивер, Сара Снук",8.0,478
Сталкер,2008,2 ч 6 мин,США,триллер,ДжейТи Моллнер,"Уилла Фицджералд, Кайл Галлнер",6.7,6 957
Полночь с дьяволом,2020,1 ч 30 мин,Австралия,ужасы,Камерон Кернс,"Давид Дастмалчян, Лора Гордон",6.2,61 500
Семя священного инжира,2019,1 ч 37 мин,Германия,триллер,Мохаммад Расулоф,"Mahsa Rostami, Setareh Malek",7.5,941
Гарри Поттер и Принц-полукровка,2019,N/A,Великобритания,фэнтези,Дэвид Йейтс,"Дэниэл Рэдклифф, Руперт Гринт",7.8. топ 250,528 405
В духе Рождества,2023,1 ч 45 мин,США,мюзикл,Шон Андерс,"Уилл Феррелл, Райан Рейнольдс",6.5,13 913
Баллада Бастера Скраггса,2000,1 ч 48 мин,США,вестерн,Итан Коэн,"Тим Блейк Нельсон, Джеймс Франко",7.2,83 204
Kingsman: Секретная служба,2016,1 ч 50 мин,Великобритания,боевик,Мэттью Вон,"Тэрон Эджертон, Колин Фёрт",7.7,520 648
Главный герой,2024,1 ч 35 мин,США,фантастика,Шон Леви,"Райан Рейнольдс, Джоди Комер",7.4,610 260
